country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
BEL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BEN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.4594594594594595,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.17567567567567569,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BFA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.22972972972972974,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BGD,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.2972972972972973,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.17567567567567569,0.14864864864864866,0.013513513513513514,0.2972972972972973,0.2972972972972973,0.2972972972972973
BGR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BHR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.3108108108108108,0.28378378378378377,0.28378378378378377,0.0,0.0,0.7027027027027027,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.7567567567567568,0.013513513513513514,0.013513513513513514
BIH,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.581081081081081,0.28378378378378377,0.28378378378378377,0.5675675675675675,0.5675675675675675,0.5675675675675675,1.0,0.14864864864864866,0.013513513513513514,0.581081081081081,0.581081081081081,0.581081081081081
BLR,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,1.0,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,1.0,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
BOL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
BRA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
