,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
19373,URY,1984,13.5933396287662,8950.0,0.683152437210083,26.2,0.2175999879837036,8805.0,3008.0,1.0,0.129,0.164,2.2529456615448,13.8692566470918,0.465,0.215,0.321,0.233
19374,URY,1985,14.4470535147241,8805.0,0.6853820085525513,25.2,0.2175999879837036,8901.0,3012.0,3.0,0.687,0.83,2.280768394470215,15.9497526489956,0.502,0.042,0.023,0.105
19375,URY,1986,14.3282770826853,8901.0,0.7428098320960999,24.2,0.2175999879837036,9628.0,3031.0,3.0,0.819,0.849,2.29354190826416,16.7632284386865,0.543,0.039,0.023,0.105
19376,URY,1987,13.2243616132581,9628.0,0.7873055338859558,23.1,0.2175999879837036,10305.0,3049.0,3.0,0.819,0.9,2.306386947631836,15.9654463471062,0.578,0.039,0.023,0.105
19377,URY,1988,12.1772281635843,10305.0,0.7723641395568848,22.1,0.2175999879837036,10256.0,3068.0,3.0,0.819,0.9,2.3193039894104004,15.1891030767731,0.603,0.039,0.023,0.105
19378,URY,1989,12.3424030601529,10256.0,0.7674697041511536,21.3,0.2175999879837036,10305.0,3088.0,3.0,0.82,0.9,2.3322932720184326,14.532178094581,0.586,0.039,0.023,0.105
19379,URY,1990,12.0973181409105,10305.0,0.7665254473686218,20.8,0.2175999879837036,10305.0,3110.0,3.0,0.841,0.922,2.345355272293091,16.2025863999242,0.586,0.047,0.056,0.105
19380,URY,1991,11.9618423259359,10305.0,0.7795047163963318,20.4,0.2175999879837036,10586.408414766767,3123.7,3.0,0.841,0.922,2.354188919067383,16.7932403160897,0.567,0.047,0.056,0.105
19381,URY,1992,11.5840772004318,10586.408414766767,0.825863242149353,20.1,0.2175999879837036,11349.542004280956,3136.53,3.0,0.841,0.922,2.36305570602417,17.2408574744059,0.541,0.047,0.056,0.105
19382,URY,1993,12.1754488074226,11349.542004280956,0.8339386582374573,19.7,0.2175999879837036,11581.704684274522,3149.03,3.0,0.841,0.922,2.3719558715820312,19.389494107735,0.516,0.047,0.056,0.105
19383,URY,1994,11.8714549164165,11581.704684274522,0.8649895191192627,19.2,0.2175999879837036,12344.150140296246,3162.34,3.0,0.842,0.921,2.380889415740967,19.0344093835043,0.526,0.047,0.056,0.105
19384,URY,1995,11.8392008061517,12344.150140296246,0.8287022113800049,18.5,0.2175999879837036,12092.638852246671,3175.45,3.0,0.87,0.921,2.3898568153381348,16.8787580283368,0.518,0.042,0.038,0.105
19385,URY,1996,12.81098519885,12092.638852246671,0.8502413630485535,17.7,0.2175999879837036,12660.162655503667,3189.66,3.0,0.87,0.925,2.420107126235962,17.3511022349298,0.538,0.042,0.038,0.105
19386,URY,1997,11.0416263605056,12660.162655503667,0.8652299642562866,16.8,0.2175999879837036,13226.47779769592,3206.58,3.0,0.87,0.921,2.450740098953247,16.780792455572,0.521,0.042,0.038,0.105
19387,URY,1998,10.8980410118412,13226.47779769592,0.8762427568435669,16,0.2175999879837036,13744.321148516316,3221.7,3.0,0.877,0.927,2.4817609786987305,16.9828417745635,0.465,0.042,0.038,0.105
19388,URY,1999,12.1913473805262,13744.321148516316,0.8522884249687195,15.3,0.2175999879837036,13348.756281367088,3233.83,3.0,0.876,0.927,2.513174533843994,15.278285168979,0.443,0.042,0.038,0.105
19389,URY,2000,12.3560487504224,13348.756281367088,0.8342719674110413,14.7,0.2175999879837036,13050.0639035873,3245.77,3.0,0.874,0.922,2.54498553276062,14.6991370386579,0.305,0.042,0.038,0.105
19390,URY,2001,12.4920421206891,13050.0639035873,0.807508111000061,14.3,0.2175999879837036,12463.91903980911,3257.26,3.0,0.874,0.931,2.5419676303863525,15.3059815839749,0.187,0.042,0.038,0.105
19391,URY,2002,12.3477943480481,12463.91903980911,0.7699891924858093,14,0.2175999879837036,11399.580724707435,3267.74,3.0,0.874,0.931,2.5389533042907715,15.7776762187295,0.095,0.042,0.038,0.105
19392,URY,2003,11.9890885893952,11399.580724707435,0.7842720150947571,13.6,0.2175999879837036,11438.68613850908,3276.88,3.0,0.874,0.907,2.535942554473877,17.2060058985691,0.046,0.042,0.038,0.105
19393,URY,2004,11.0050185738234,11438.68613850908,0.7972421646118164,13.1,0.2175999879837036,11955.309438553342,3284.75,3.0,0.875,0.933,2.532935380935669,17.8462046174237,0.073,0.042,0.038,0.105
19394,URY,2005,10.9354580037111,11955.309438553342,0.842289924621582,12.4,0.2175999879837036,12757.498640066233,3291.25,3.0,0.889,0.931,2.5299317836761475,17.8969219665738,0.087,0.042,0.038,0.105
19395,URY,2006,11.2852638649094,12757.498640066233,0.8474389314651489,11.6,0.2175999879837036,13223.780764577108,3297.7,3.0,0.892,0.931,2.5415289402008057,18.8323064186538,0.141,0.042,0.038,0.105
19396,URY,2007,11.4801831825683,13223.780764577108,0.8709462285041809,10.9,0.2175999879837036,13976.392578731906,3305.39,3.0,0.892,0.931,2.5531792640686035,18.1109425946772,0.202,0.042,0.038,0.105
19397,URY,2008,12.2130864916131,13976.392578731906,0.8901809453964233,10.2,0.2175999879837036,14869.92666630942,3313.13,3.0,0.892,0.928,2.5632803440093994,17.8002013221528,0.224,0.042,0.038,0.105
19398,URY,2009,12.9437940671953,14869.92666630942,0.9084883332252502,9.7,0.2175999879837036,15143.996123101964,3320.9,3.0,0.894,0.928,2.571185350418091,18.1226990471616,0.255,0.042,0.038,0.105
19399,URY,2010,12.64589594908,15143.996123101964,0.950634241104126,9.2,0.2175999879837036,16415.62883173476,3328.71,3.0,0.912,0.93,2.5791146755218506,18.1364190185862,0.257,0.042,0.038,0.105
19400,URY,2011,12.7604586461063,16415.62883173476,0.9630770683288574,8.8,0.2175999879837036,17211.0,3336.69,3.0,0.912,0.93,2.6003246307373047,18.1987734858938,0.239,0.042,0.038,0.105
19401,URY,2012,13.273834491652,17211.0,0.9701422452926636,8.5,0.2175999879837036,17776.02749140041,3344.93,3.0,0.912,0.93,2.621709108352661,17.7918744506058,0.276,0.042,0.038,0.105
19402,URY,2013,13.5224297817283,17776.02749140041,0.9872784614562988,8.2,0.2175999879837036,18553.332642626025,3353.43,3.0,0.912,0.928,2.643269300460815,17.8597397264673,0.319,0.05,0.049,0.105
19403,URY,2014,13.6963930072559,18553.332642626025,0.9863617420196532,7.9,0.2175999879837036,19104.3132118841,3362.2,3.0,0.911,0.93,2.6650068759918213,17.275289380084,0.337,0.05,0.049,0.105
19404,URY,2015,13.8358099973704,19104.3132118841,0.9778294563293456,7.5,0.2175999879837036,19123.602932734615,3371.27,3.0,0.897,0.933,2.6869232654571533,17.0956158572883,0.358,0.044,0.049,0.105
19405,URY,2016,..,19123.602932734615,0.984269917011261,7.2,0.2175999879837036,19393.98190078564,3380.45,3.0,0.897,0.933,2.709019899368286,21.7322482220825,0.31,0.044,0.049,0.105
19406,URY,2017,..,19393.98190078564,1.0,6.8,0.2175999879837036,19656.62655542169,3389.58,3.0,0.889,0.936,2.7312982082366943,18.0774760237708,0.231,0.044,0.049,0.105
19407,URY,2018,..,19656.62655542169,1.007933497428894,6.5,0.2175999879837036,19697.759966076323,3398.67,3.0,0.9,0.937,2.7537596225738525,18.3247041806937,0.129,0.044,0.049,0.105
19408,URY,2019,..,19697.759966076323,0.998226523399353,6.2,0.2175999879837036,19714.14894879611,3407.73,3.0,0.898,0.937,2.7764058113098145,17.8650944074869,0.029,0.044,0.049,0.105
19409,URY,2020,..,19714.14894879611,,6,0.2175999879837036,18460.03834921669,3416.7,3.0,0.87,0.944,,18.5526476964563,0.075,0.056,0.075,0.127
